ID,recording,part,participant,chunk.x,block.x,length.x,rater_label,confidence.x,nat_inf_label,duration,participant2,chunk.y,block.y,length.y,confidence.y,happy,sooth,love,exaggerate,nat_inf_label2,duration2
10,643,30555748-30556070,TSMD10,chunk51,FA1,0.322,cds,3,A,5,TSMA10,chunk51,FA1,0.322,2,0,0,0,2,A,11
10,643,5197156-5197796,TSMD10,chunk9,FA2,0.64,cds,4,T,11,TSMA10,chunk9,FA2,0.64,4,2,3,3,2,T,24
10,2625,2732315-2733314,TSMD10,chunk2,FA1,0.999,cds,3,T,15,TSMA10,chunk2,FA1,0.999,3,0,1,1,3,T,16
10,7220,6314238-6315155,TSMD10,chunk23,FA2,0.917,cds,1,A,11,TSMA10,chunk23,FA2,0.917,2,3,3,2,2,A,11
10,7220,6382150-6384698,TSMD10,chunk24,FA1,2.548,cds,4,A,15,TSMA10,chunk24,FA1,2.548,4,0,3,2,0,A,11
10,7220,10140781-10142982,TSMD10,chunk28,FA3,2.201,cds,3,A,9,TSMA10,chunk28,FA3,2.201,4,1,3,1,1,A,14
10,7220,10259792-10260960,TSMD10,chunk30,FA2,1.168,cds,4,A,6,TSMA10,chunk30,FA2,1.168,4,4,0,0,4,A,8
10,7220,10331446-10332114,TSMD10,chunk31,FA3,0.668,cds,3,A,6,TSMA10,chunk31,FA3,0.668,3,2,2,2,2,A,14
10,7220,10333771-10334051,TSMD10,chunk31,FA3,0.28,cds,3,A,12,TSMA10,chunk31,FA3,0.28,3,0,0,0,2,A,8
10,7220,15227970-15228840,TSMD10,chunk33,FA1,0.87,cds,3,T,8,TSMA10,chunk33,FA1,0.87,3,2,0,1,2,T,8
10,7220,15234570-15235390,TSMD10,chunk33,FA1,0.82,ads,3,T,5,TSMA10,chunk33,FA1,0.82,4,3,2,2,4,T,9
10,7220,15668705-15669471,TSMD10,chunk37,FA1,0.766,cds,4,A,7,TSMA10,chunk37,FA1,0.766,3,3,2,2,2,A,16
10,7220,15710148-15711393,TSMD10,chunk38,FA1,1.245,cds,3,C,6,TSMA10,chunk38,FA1,1.245,4,2,0,0,2,C,9
10,7220,16769798-16770312,TSMD10,chunk40,FA2,0.514,ads,3,A,8,TSMA10,chunk40,FA2,0.514,1,0,0,0,0,A,20
10,7220,16862720-16863544,TSMD10,chunk41,FA2,0.824,cds,3,A,6,TSMA10,chunk41,FA2,0.824,3,0,1,1,0,A,17
10,7220,22509634-22510507,TSMD10,chunk45,FA1,0.873,ads,3,A,5,TSMA10,chunk45,FA1,0.873,0,1,1,1,1,A,13
10,7220,22553842-22554290,TSMD10,chunk45,FA1,0.448,cds,3,A,5,TSMA10,chunk45,FA1,0.448,2,1,0,0,1,A,13
10,7220,2277112-2277846,TSMD10,chunk5,FA2,0.734,cds,3,C,11,TSMA10,chunk5,FA2,0.734,4,2,4,2,1,C,13
10,7220,30484060-30484490,TSMD10,chunk50,FA1,0.43,cds,2,T,7,TSMA10,chunk50,FA1,0.43,3,1,0,0,2,T,9
10,7220,30594186-30594776,TSMD10,chunk51,FA1,0.59,cds,3,A,5,TSMA10,chunk51,FA1,0.59,2,0,0,0,2,A,11
10,7220,30610467-30610937,TSMD10,chunk51,FA1,0.47,ads,3,A,4,TSMA10,chunk51,FA1,0.47,4,1,0,0,4,A,12
10,7220,30631976-30632598,TSMD10,chunk51,FA4,0.622,cds,3,A,4,TSMA10,chunk51,FA4,0.622,3,0,0,0,1,A,10
10,7220,30641566-30642573,TSMD10,chunk51,FA4,1.007,cds,3,A,5,TSMA10,chunk51,FA4,1.007,4,4,0,2,4,A,10
10,7220,30644641-30645436,TSMD10,chunk51,FA4,0.795,cds,3,A,4,TSMA10,chunk51,FA4,0.795,4,4,0,3,4,A,13
10,7220,30646015-30648287,TSMD10,chunk51,FA4,2.272,cds,3,A,6,TSMA10,chunk51,FA4,2.272,3,1,0,0,0,A,10
10,7220,30659890-30661112,TSMD10,chunk52,FA4,1.222,cds,3,A,4,TSMA10,chunk52,FA4,1.222,3,1,0,0,1,A,11
11,2109,3544029-3545144,TSMD11,chunk1,FA1,1.115,ads,1,T,4,TSMA11,chunk1,FA1,1.115,3,0,3,1,0,T,51
11,2109,3579785-3580395,TSMD11,chunk1,FA1,0.61,cds,3,T,5,TSMA11,chunk1,FA1,0.61,2,0,1,2,0,T,28
11,2109,3593258-3593900,TSMD11,chunk1,FA1,0.642,cds,4,T,3,TSMA11,chunk1,FA1,0.642,2,3,1,3,2,T,29
