Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),cds_ads,confidence_level,Original Label,Duration,Comments
13:15:12 27Jan2020,TSMD13,7220,chunk40,FA2,16769798-16770312,0.514,cds,3,A,4,None
13:16:39 27Jan2020,TSMD13,7220,chunk52,FA4,30659890-30661112,1.222,cds,3,A,7,None
13:13:29 27Jan2020,TSMD13,7220,chunk5,FA2,2277112-2277846,0.734,ads,4,C,5,None
13:15:45 27Jan2020,TSMD13,7220,chunk50,FA1,30484060-30484490,0.43,cds,4,T,5,None
12:59:12 27Jan2020,TSMD13,0643,chunk2,FA1,2016491-2017690,1.199,ads,2,C,12,None
12:59:33 27Jan2020,TSMD13,0643,chunk2,FA1,2059578-2060477,0.899,ads,2,C,18,None
13:01:35 27Jan2020,TSMD13,0643,chunk13,FA1,11278211-11279081,0.87,cds,1,T,4,None
13:02:00 27Jan2020,TSMD13,0643,chunk13,FA1,11283035-11283520,0.485,ads,2,T,5,None
13:02:08 27Jan2020,TSMD13,0643,chunk13,FA1,11288834-11290778,1.944,cds,3,T,6,None
13:02:17 27Jan2020,TSMD13,0643,chunk13,FA1,11291655-11293667,2.012,cds,2,T,7,None
13:01:30 27Jan2020,TSMD13,0643,chunk13,FA1,11276259-11276870,0.611,cds,2,T,12,None
13:01:40 27Jan2020,TSMD13,0643,chunk13,FA1,11280553-11281555,1.002,ads,2,T,4,None
13:01:12 27Jan2020,TSMD13,0643,chunk11,FA1,11135799-11136280,0.481,cds,1,T,6,None
13:01:04 27Jan2020,TSMD13,0643,chunk11,FA1,11130100-11130710,0.61,cds,1,T,11,None
13:03:17 27Jan2020,TSMD13,0643,chunk17,FA2,14258333-14259264,0.931,cds,2,C,7,None
13:06:30 27Jan2020,TSMD13,0643,chunk38,FA2,26199560-26199872,0.312,ads,1,A,11,None
13:05:59 27Jan2020,TSMD13,0643,chunk38,FA2,26183162-26183628,0.466,ads,2,A,9,None
13:05:28 27Jan2020,TSMD13,0643,chunk38,FA2,26161988-26162780,0.792,ads,2,A,3,None
13:05:48 27Jan2020,TSMD13,0643,chunk38,FA2,26166056-26166616,0.56,ads,2,A,6,None
13:06:17 27Jan2020,TSMD13,0643,chunk38,FA2,26191240-26192624,1.384,cds,2,A,17,None
13:05:19 27Jan2020,TSMD13,0643,chunk38,FA1,26186810-26187708,0.898,cds,2,C,13,None
13:02:42 27Jan2020,TSMD13,0643,chunk15,FA1,11402131-11403831,1.7,ads,2,C,6,None
13:02:33 27Jan2020,TSMD13,0643,chunk15,FA1,11395987-11397225,1.238,ads,2,C,8,None
13:02:52 27Jan2020,TSMD13,0643,chunk16,FA1,11450262-11451442,1.18,ads,2,T,6,None
13:02:59 27Jan2020,TSMD13,0643,chunk16,FA1,11460013-11460782,0.769,ads,2,T,5,None
13:03:30 27Jan2020,TSMD13,0643,chunk19,FA2,14331953-14335836,3.883,ads,2,C,8,None
13:05:03 27Jan2020,TSMD13,0643,chunk36,FA2,21448917-21449845,0.928,ads,2,A,11,None
13:04:40 27Jan2020,TSMD13,0643,chunk30,FA1,20518422-20520287,1.865,ads,2,C,18,None
13:04:49 27Jan2020,TSMD13,0643,chunk32,FA1,20648000-20648686,0.686,cds,2,C,4,None
13:11:02 27Jan2020,TSMD13,0643,chunk51,FA1,30552436-30554260,1.824,cds,2,A,5,None
13:10:55 27Jan2020,TSMD13,0643,chunk51,FA1,30536680-30539238,2.558,ads,3,A,7,None
13:11:07 27Jan2020,TSMD13,0643,chunk51,FA1,30555748-30556070,0.322,ads,3,A,4,None
13:10:46 27Jan2020,TSMD13,0643,chunk50,FA1,29955716-29956736,1.02,ads,4,A,8,None
13:00:50 27Jan2020,TSMD13,0643,chunk9,FA2,5197156-5197796,0.64,cds,2,T,5,None
13:06:39 27Jan2020,TSMD13,0643,chunk39,FA2,26530416-26532096,1.68,cds,2,T,5,None
13:06:44 27Jan2020,TSMD13,0643,chunk39,FA2,26551008-26551304,0.296,cds,2,C,3,None
12:58:46 27Jan2020,TSMD13,0643,chunk1,FA1,1970580-1971675,1.095,cds,2,C,52,None
13:00:20 27Jan2020,TSMD13,0643,chunk5,FA1,2225833-2226779,0.946,cds,3,C,6,None
12:59:44 27Jan2020,TSMD13,0643,chunk4,FA1,2151402-2152381,0.979,cds,2,C,7,None
13:00:09 27Jan2020,TSMD13,0643,chunk4,FA1,2175929-2177029,1.1,cds,1,C,23,None
13:03:39 27Jan2020,TSMD13,0643,chunk23,FA1,16625000-16625952,0.952,ads,2,C,6,None
13:04:01 27Jan2020,TSMD13,0643,chunk23,FA1,16631309-16634177,2.868,ads,1,C,12,None
13:04:16 27Jan2020,TSMD13,0643,chunk23,FA1,16647405-16648714,1.309,cds,2,C,6,None
13:03:47 27Jan2020,TSMD13,0643,chunk23,FA1,16627528-16629715,2.187,cds,3,C,7,None
13:04:08 27Jan2020,TSMD13,0643,chunk23,FA1,16635372-16635975,0.603,cds,2,C,5,None
13:10:18 27Jan2020,TSMD13,0643,chunk48,FA1,28458098-28459792,1.694,ads,2,A,5,None
13:10:26 27Jan2020,TSMD13,0643,chunk49,FA1,28543056-28544596,1.54,ads,3,C,5,None
13:08:59 27Jan2020,TSMD13,0643,chunk44,FA2,26892220-26892602,0.382,cds,3,T,4,None
13:08:54 27Jan2020,TSMD13,0643,chunk44,FA2,26875950-26876216,0.266,cds,3,T,3,None
