Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),include_exclude,confidence_level,sounded_happy,sounded_soothing,sounded_loving,sounded_exited,Original Label,Duration,Comments
12:24:11 17Jan2020,TSMA10,0643,chunk41,FA2,26653844-26655408,1.564,unlabeled,2,0,2,0,0,C,10,None
12:24:27 17Jan2020,TSMA10,0643,chunk42,FA2,26688700-26690145,1.445,unlabeled,4,0,0,0,0,C,8,None
12:24:40 17Jan2020,TSMA10,0643,chunk42,FA2,26705730-26706392,0.662,unlabeled,3,0,0,0,2,C,12,None
12:25:25 17Jan2020,TSMA10,0643,chunk43,FA2,26776314-26776764,0.45,unlabeled,2,0,0,2,0,T,12,None
12:24:58 17Jan2020,TSMA10,0643,chunk43,FA2,26765672-26766716,1.044,unlabeled,4,2,0,0,2,C,14,None
12:25:11 17Jan2020,TSMA10,0643,chunk43,FA2,26774544-26775095,0.551,unlabeled,1,0,0,0,0,T,11,None
12:32:22 17Jan2020,TSMA10,2625,chunk28,FA1,16704842-16705456,0.614,unlabeled,4,4,1,2,4,T,9,None
12:31:21 17Jan2020,TSMA10,2625,chunk17,FA1,12359701-12360702,1.001,unlabeled,3,0,0,0,2,C,10,None
12:29:54 17Jan2020,TSMA10,2625,chunk15,FA1,10009239-10010020,0.781,unlabeled,2,0,2,0,0,T,19,None
12:30:43 17Jan2020,TSMA10,2625,chunk15,FA1,9977706-9978000,0.294,unlabeled,3,1,0,0,2,T,9,None
12:30:07 17Jan2020,TSMA10,2625,chunk15,FA1,10016585-10017025,0.44,unlabeled,3,2,1,1,2,T,11,None
12:30:28 17Jan2020,TSMA10,2625,chunk15,FA1,10033418-10034212,0.794,unlabeled,4,3,3,3,3,T,6,None
12:29:34 17Jan2020,TSMA10,2625,chunk15,FA1,10006988-10007435,0.447,unlabeled,3,0,0,0,1,T,10,None
12:31:07 17Jan2020,TSMA10,2625,chunk15,FA1,9996590-9997840,1.25,unlabeled,0,0,1,2,2,T,23,None
12:32:33 17Jan2020,TSMA10,2625,chunk34,FA1,27374608-27374951,0.343,unlabeled,4,4,0,3,4,C,9,None
12:31:33 17Jan2020,TSMA10,2625,chunk18,FA1,12394154-12394895,0.741,unlabeled,4,0,0,0,0,C,8,None
12:32:09 17Jan2020,TSMA10,2625,chunk27,FA1,16659273-16660534,1.261,unlabeled,3,0,1,1,2,T,13,None
12:29:21 17Jan2020,TSMA10,2625,chunk2,FA1,2732315-2733314,0.999,unlabeled,3,0,1,1,3,T,16,None
